county,year,pop
1085,2008,12592
1085,2009,12293
1085,2010,11278
1085,2011,11117
1085,2012,10835
1085,2013,999999
1085,2014,999999
1087,2001,23980
1087,2002,23651
1087,2003,23470
1087,2004,23041
1087,2005,22736
1087,2006,22544
1087,2007,22258
1087,2008,22195
1087,2009,21789
1087,2010,21499
1087,2011,21317
1087,2012,20632
1087,2013,999999
1087,2014,999999
1089,2001,281264
1089,2002,286037
1089,2003,290763
1089,2004,294814
1089,2005,300272
1089,2006,307509
1089,2007,313796
1089,2008,320914
1089,2009,327744
1089,2010,336149
1089,2011,339594
1089,2012,342773
1089,2013,999999
1089,2014,999999
1091,2001,22179
1091,2002,22161
1091,2003,21930
1091,2004,21649
1091,2005,21405
1091,2006,21335
1091,2007,21265
1091,2008,21100
1091,2009,20943
1091,2010,20953
1091,2011,20728
1091,2012,20451
1091,2013,999999
1091,2014,999999
1093,2001,30588
1093,2002,30235
1093,2003,29972
1093,2004,29712
1093,2005,29493
1093,2006,29585
1093,2007,29501
1093,2008,29378
1093,2009,29116
1093,2010,30798
1093,2011,30725
1093,2012,30520
1093,2013,999999
1093,2014,999999
1095,2001,82191
1095,2002,82922
1095,2003,83592
1095,2004,84161
1095,2005,85298
1095,2006,86760
1095,2007,87970
1095,2008,89200
1095,2009,90399
1095,2010,93150
1095,2011,93885
1095,2012,94182
1095,2013,999999
1095,2014,999999
1097,2001,400094
1097,2002,398417
1097,2003,397707
1097,2004,397521
1097,2005,398369
1097,2006,402199
1097,2007,405234
1097,2008,409132
1097,2009,411721
1097,2010,413369
1097,2011,413178
1097,2012,413760
1097,2013,999999
1097,2014,999999
1099,2001,24004
1099,2002,23803
1099,2003,23532
1099,2004,23351
1099,2005,23169
1099,2006,22986
1099,2007,22759
1099,2008,22648
1099,2009,22389
1099,2010,22987
1099,2011,22795
1099,2012,22593
1099,2013,999999
1099,2014,999999
1101,2001,222901
1101,2002,222936
1101,2003,222486
1101,2004,222085
1101,2005,222220
1101,2006,225333
1101,2007,225648
1101,2008,224525
1101,2009,224119
1101,2010,229554
1101,2011,229174
1101,2012,228708
1101,2013,999999
1101,2014,999999
1103,2001,111494
1103,2002,111397
1103,2003,112287
1103,2004,112210
1103,2005,112951
1103,2006,114297
1103,2007,115148
1103,2008,116297
1103,2009,117293
1103,2010,119610
1103,2011,119988
1103,2012,120123
1103,2013,999999
1103,2014,999999
1105,2001,11632
1105,2002,11521
1105,2003,11241
1105,2004,11078
1105,2005,10787
1105,2006,10554
1105,2007,10726
1105,2008,10753
1105,2009,10623
1105,2010,10543
1105,2011,10518
1105,2012,10184
1105,2013,999999
1105,2014,999999
1107,2001,20823
1107,2002,20708
1107,2003,20316
1107,2004,20096
1107,2005,19834
1107,2006,19698
1107,2007,19503
1107,2008,19385
1107,2009,19218
1107,2010,19717
1107,2011,19366
1107,2012,19359
1107,2013,999999
1107,2014,999999
